Codice Ripartizione geografica,Codice Regione,Codice Provincia/Uts,Codice Comune,Comune,Targa,Capoluogo di Provincia/Uts,Capoluogo di Regione,Superficie (Kmq),Anno,Popolazione
1,1,201,1230,Rueglio,TO,False,False,15.1002,2020,777
1,1,201,1231,Salassa,TO,False,False,4.9519,2020,1809
1,1,201,1232,Salbertrand,TO,False,False,38.3198,2020,609
1,1,201,1233,Salerano Canavese,TO,False,False,2.1034,2020,462
1,1,201,1234,Salza di Pinerolo,TO,False,False,15.8859,2020,75
1,1,201,1235,Samone,TO,False,False,2.433,2020,1501
1,1,201,1236,San Benigno Canavese,TO,False,False,22.2318,2020,5955
1,1,201,1237,San Carlo Canavese,TO,False,False,20.9068,2020,3980
1,1,201,1238,San Colombano Belmonte,TO,False,False,3.3809,2020,362
1,1,201,1239,San Didero,TO,False,False,3.3037,2020,512
1,1,201,1240,San Francesco al Campo,TO,False,False,14.9796,2020,4839
1,1,201,1241,Sangano,TO,False,False,6.6513,2020,3683
1,1,201,1242,San Germano Chisone,TO,False,False,15.8616,2020,1707
1,1,201,1243,San Gillio,TO,False,False,8.8866,2020,3173
1,1,201,1244,San Giorgio Canavese,TO,False,False,20.4049,2020,2520
1,1,201,1245,San Giorio di Susa,TO,False,False,19.7366,2020,978
1,1,201,1246,San Giusto Canavese,TO,False,False,9.6132,2020,3247
1,1,201,1247,San Martino Canavese,TO,False,False,9.7933,2020,811
1,1,201,1248,San Maurizio Canavese,TO,False,False,17.3442,2020,10144
1,1,201,1249,San Mauro Torinese,TO,False,False,12.5517,2020,18589
1,1,201,1250,San Pietro Val Lemina,TO,False,False,12.4446,2020,1439
1,1,201,1251,San Ponso,TO,False,False,2.1243,2020,257
1,1,201,1252,San Raffaele Cimena,TO,False,False,11.152,2020,3098
1,1,201,1253,San Sebastiano da Po,TO,False,False,16.5766,2020,1855
1,1,201,1254,San Secondo di Pinerolo,TO,False,False,12.5719,2020,3615
1,1,201,1255,Sant'Ambrogio di Torino,TO,False,False,8.3683,2020,4597
1,1,201,1256,Sant'Antonino di Susa,TO,False,False,9.7945,2020,4060
1,1,201,1257,Santena,TO,False,False,16.1983,2020,10556
1,1,201,1258,Sauze di Cesana,TO,False,False,78.2772,2020,250
1,1,201,1259,Sauze d'Oulx,TO,False,False,17.3112,2020,1081
1,1,201,1260,Scalenghe,TO,False,False,31.6768,2020,3226
1,1,201,1261,Scarmagno,TO,False,False,8.0308,2020,806
1,1,201,1262,Sciolze,TO,False,False,11.3557,2020,1432
1,1,201,1263,Sestriere,TO,False,False,25.9158,2020,922
1,1,201,1264,Settimo Rottaro,TO,False,False,6.0578,2020,467
1,1,201,1265,Settimo Torinese,TO,False,False,31.4505,2020,46348
1,1,201,1266,Settimo Vittone,TO,False,False,23.2604,2020,1513
1,1,201,1267,Sparone,TO,False,False,29.6785,2020,933
1,1,201,1268,Strambinello,TO,False,False,2.214,2020,266
1,1,201,1269,Strambino,TO,False,False,22.4686,2020,6092
1,1,201,1270,Susa,TO,False,False,10.9879,2020,5992
1,1,201,1271,Tavagnasco,TO,False,False,8.6751,2020,774
1,1,201,1272,Torino,TO,True,True,130.0645,2020,858205
1,1,201,1273,Torrazza Piemonte,TO,False,False,9.8238,2020,2974
1,1,201,1274,Torre Canavese,TO,False,False,5.4545,2020,616
1,1,201,1275,Torre Pellice,TO,False,False,21.0981,2020,4554
1,1,201,1276,Trana,TO,False,False,16.4059,2020,3788
1,1,201,1278,Traversella,TO,False,False,39.3597,2020,323
1,1,201,1279,Traves,TO,False,False,10.4544,2020,506
1,1,201,1280,Trofarello,TO,False,False,12.3475,2020,10611
1,1,201,1281,Usseaux,TO,False,False,37.9669,2020,180
1,1,201,1282,Usseglio,TO,False,False,98.5375,2020,200
1,1,201,1283,Vaie,TO,False,False,7.2292,2020,1398
1,1,201,1284,Val della Torre,TO,False,False,36.5253,2020,3965
1,1,201,1285,Valgioie,TO,False,False,9.12,2020,947
1,1,201,1286,Vallo Torinese,TO,False,False,6.0792,2020,788
1,1,201,1287,Valperga,TO,False,False,11.9094,2020,2991
1,1,201,1288,Valprato Soana,TO,False,False,71.8527,2020,93
1,1,201,1289,Varisella,TO,False,False,22.5579,2020,845
1,1,201,1290,Vauda Canavese,TO,False,False,7.0929,2020,1443
1,1,201,1291,Venaus,TO,False,False,19.1435,2020,877
1,1,201,1292,Venaria Reale,TO,False,False,20.4424,2020,32682
1,1,201,1293,Verolengo,TO,False,False,29.4882,2020,4766
1,1,201,1294,Verrua Savoia,TO,False,False,31.9431,2020,1340
1,1,201,1295,Vestignè,TO,False,False,12.0691,2020,765
1,1,201,1296,Vialfrè,TO,False,False,4.6453,2020,242
1,1,201,1298,Vidracco,TO,False,False,2.9677,2020,495
1,1,201,1299,Vigone,TO,False,False,41.1543,2020,5070
1,1,201,1300,Villafranca Piemonte,TO,False,False,50.7854,2020,4489
1,1,201,1301,Villanova Canavese,TO,False,False,4.0306,2020,1194
1,1,201,1302,Villarbasse,TO,False,False,10.4088,2020,3467
1,1,201,1303,Villar Dora,TO,False,False,5.7067,2020,2785
1,1,201,1304,Villareggia,TO,False,False,11.4091,2020,996
1,1,201,1305,Villar Focchiardo,TO,False,False,25.6868,2020,1948
1,1,201,1306,Villar Pellice,TO,False,False,60.2927,2020,1045
1,1,201,1307,Villar Perosa,TO,False,False,11.4228,2020,3888
1,1,201,1308,Villastellone,TO,False,False,19.8767,2020,4504
1,1,201,1309,Vinovo,TO,False,False,17.6941,2020,15070
1,1,201,1310,Virle Piemonte,TO,False,False,14.0573,2020,1151
1,1,201,1311,Vische,TO,False,False,17.0748,2020,1189
1,1,201,1312,Vistrorio,TO,False,False,4.6817,2020,518
1,1,201,1313,Viù,TO,False,False,84.1119,2020,1021
1,1,201,1314,Volpiano,TO,False,False,32.4629,2020,15167
1,1,201,1315,Volvera,TO,False,False,20.9827,2020,8495
1,1,201,1316,Mappano,TO,False,False,9.7589,2020,7354
1,1,201,1317,Val di Chy,TO,False,False,13.831,2020,1236
1,1,201,1318,Valchiusa,TO,False,False,49.6245,2020,987
1,1,2,2002,Alagna Valsesia,VC,False,False,133.1704,2020,725
1,1,2,2003,Albano Vercellese,VC,False,False,13.7804,2020,309
1,1,2,2004,Alice Castello,VC,False,False,24.565,2020,2506
1,1,2,2006,Arborio,VC,False,False,23.3101,2020,844
1,1,2,2007,Asigliano Vercellese,VC,False,False,26.3156,2020,1389
1,1,2,2008,Balmuccia,VC,False,False,9.7885,2020,117
1,1,2,2009,Balocco,VC,False,False,16.8079,2020,220
1,1,2,2011,Bianzè,VC,False,False,41.8058,2020,1848
1,1,2,2014,Boccioleto,VC,False,False,33.8706,2020,160
1,1,2,2015,Borgo d'Ale,VC,False,False,39.5707,2020,2260
1,1,2,2016,Borgosesia,VC,False,False,41.0901,2020,12250
1,1,2,2017,Borgo Vercelli,VC,False,False,19.2949,2020,2228
1,1,2,2021,Buronzo,VC,False,False,25.0776,2020,837
1,1,2,2025,Campertogno,VC,False,False,34.1364,2020,214
1,1,2,2029,Carcoforo,VC,False,False,22.8004,2020,73
1,1,2,2030,Caresana,VC,False,False,24.1087,2020,1039
1,1,2,2031,Caresanablot,VC,False,False,11.0218,2020,1096
1,1,2,2032,Carisio,VC,False,False,30.1062,2020,766
1,1,2,2033,Casanova Elvo,VC,False,False,16.205,2020,223
1,1,2,2035,San Giacomo Vercellese,VC,False,False,9.6044,2020,292
1,1,2,2041,Cervatto,VC,False,False,9.538,2020,52
1,1,2,2042,Cigliano,VC,False,False,25.3078,2020,4283
1,1,2,2043,Civiasco,VC,False,False,7.3878,2020,239
1,1,2,2045,Collobiano,VC,False,False,9.2234,2020,86
1,1,2,2047,Costanzana,VC,False,False,20.9676,2020,748
1,1,2,2048,Cravagliana,VC,False,False,34.8563,2020,252
1,1,2,2049,Crescentino,VC,False,False,48.2233,2020,7611
1,1,2,2052,Crova,VC,False,False,14.0162,2020,394
1,1,2,2054,Desana,VC,False,False,16.4768,2020,1061
1,1,2,2057,Fobello,VC,False,False,28.1403,2020,185
1,1,2,2058,Fontanetto Po,VC,False,False,23.2424,2020,1079
1,1,2,2059,Formigliana,VC,False,False,16.7629,2020,495
1,1,2,2061,Gattinara,VC,False,False,33.6659,2020,7572
1,1,2,2062,Ghislarengo,VC,False,False,12.503,2020,814
1,1,2,2065,Greggio,VC,False,False,11.8817,2020,340
1,1,2,2066,Guardabosone,VC,False,False,6.0875,2020,339
1,1,2,2067,Lamporo,VC,False,False,9.644,2020,509
1,1,2,2068,Lenta,VC,False,False,18.9701,2020,797
1,1,2,2070,Lignana,VC,False,False,22.574,2020,526
1,1,2,2071,Livorno Ferraris,VC,False,False,58.028,2020,4183
1,1,2,2072,Lozzolo,VC,False,False,6.6672,2020,800
1,1,2,2078,Mollia,VC,False,False,13.9178,2020,95
1,1,2,2079,Moncrivello,VC,False,False,20.1818,2020,1380
1,1,2,2082,Motta de' Conti,VC,False,False,11.715,2020,738
1,1,2,2088,Olcenengo,VC,False,False,16.5035,2020,783
1,1,2,2089,Oldenico,VC,False,False,6.527,2020,213
1,1,2,2090,Palazzolo Vercellese,VC,False,False,13.9396,2020,1098
1,1,2,2091,Pertengo,VC,False,False,8.2949,2020,272
1,1,2,2093,Pezzana,VC,False,False,17.3517,2020,1266
1,1,2,2096,Pila,VC,False,False,8.6903,2020,138
1,1,2,2097,Piode,VC,False,False,13.5976,2020,186
1,1,2,2102,Postua,VC,False,False,16.1782,2020,571
1,1,2,2104,Prarolo,VC,False,False,11.5388,2020,719
1,1,2,2107,Quarona,VC,False,False,16.156,2020,3878
1,1,2,2108,Quinto Vercellese,VC,False,False,10.9022,2020,395
1,1,2,2110,Rassa,VC,False,False,43.2698,2020,67
1,1,2,2113,Rimella,VC,False,False,26.2702,2020,128
1,1,2,2115,Rive,VC,False,False,9.4089,2020,426
1,1,2,2116,Roasio,VC,False,False,27.916,2020,2283
1,1,2,2118,Ronsecco,VC,False,False,24.4754,2020,544
1,1,2,2121,Rossa,VC,False,False,11.8379,2020,183
1,1,2,2122,Rovasenda,VC,False,False,29.2681,2020,912
1,1,2,2126,Salasco,VC,False,False,12.1875,2020,201
1,1,2,2127,Sali Vercellese,VC,False,False,8.7766,2020,98
1,1,2,2128,Saluggia,VC,False,False,31.5981,2020,3792
